,id,localidade,IAP,IDH,PIB,GINI,class
0,150010,Abaetetuba,0.45,0.628,9458.72,0.6,1
1,150013,Abel Figueiredo,0.47,0.622,11420.76,0.63,1
2,150020,Acará,0.12,0.506,13582.97,0.64,3
3,150030,Afuá,0.12,0.489,9405.7,0.61,3
4,150034,Água Azul do Norte,0.27,0.564,15819.85,0.63,2
5,150040,Alenquer,0.12,0.564,10091.01,0.61,3
6,150050,Almeirim,0.47,0.642,15930.68,0.51,1
7,150060,Altamira,0.12,0.665,24228.19,0.6,3
8,150070,Anajás,0.32,0.484,7288.98,0.64,2
9,150080,Ananindeua,0.37,0.718,15385.55,0.62,1
10,150085,Anapu,0.27,0.548,14888.52,0.6,2
11,150090,Augusto Corrêa,0.27,0.52,7052.96,0.6,2
12,150095,Aurora do Pará,0.52,0.519,7041.68,0.64,0
13,150100,Aveiro,0.47,0.541,7506.95,0.64,1
14,150110,Bagre,0.12,0.471,6623.42,0.63,3
15,150120,Baião,0.32,0.578,9969.77,0.63,2
16,150125,Bannach,0.0,0.594,24641.45,0.62,3
17,150130,Barcarena,0.52,0.662,43028.91,0.5900000000000001,0
18,150140,Belém,0.37,0.746,21686.87,0.5700000000000001,1
19,150145,Belterra,0.0,0.588,9204.73,0.6599999999999999,3
20,150150,Benevides,0.0,0.665,24842.81,0.63,3
21,150157,Bom Jesus do Tocantins,0.0,0.589,10248.21,0.6,3
22,150160,Bonito,0.0,0.546,9818.72,0.6699999999999999,3
23,150170,Bragança,0.15,0.6,9104.59,0.62,2
24,150172,Brasil Novo,0.0,0.613,18322.3,0.65,3
25,150175,Brejo Grande do Araguaia,0.0,0.591,11052.23,0.62,3
26,150178,Breu Branco,0.35,0.568,9088.25,0.62,1
27,150180,Breves,0.6000000000000001,0.503,7849.09,0.6,0
28,150190,Bujaru,0.32,0.552,14198.48,0.62,2
29,150195,Cachoeira do Piriá,0.2,0.473,5391.06,0.65,2
30,150200,Cachoeira do Arari,0.27,0.546,8386.84,0.61,2
31,150210,Cametá,0.2,0.577,8246.58,0.61,2
32,150215,Canaã dos Carajás,0.12,0.673,288658.15,0.64,3
33,150220,Capanema,0.5700000000000001,0.655,16037.06,0.62,0
34,150230,Capitão Poço,0.15,0.548,12969.72,0.61,2
35,150240,Castanhal,0.3,0.673,20090.55,0.61,2
36,150250,Chaves,0.12,0.453,8200.87,0.6599999999999999,3
37,150260,Colares,0.12,0.602,7021.17,0.6699999999999999,3
38,150270,Conceição do Araguaia,0.27,0.64,11443.12,0.5700000000000001,2
39,150275,Concórdia do Pará,0.0,0.566,8763.34,0.62,3
40,150276,Cumaru do Norte,0.37,0.55,21280.31,0.6599999999999999,1
41,150277,Curionópolis,0.47,0.636,52606.89,0.61,1
42,150280,Curralinho,0.47,0.502,7353.21,0.61,1
43,150285,Curuá,0.0,0.578,8996.41,0.6599999999999999,3
44,150290,Curuçá,0.0,0.582,7232.78,0.62,3
45,150293,Dom Eliseu,0.12,0.615,11068.01,0.62,3
46,150295,Eldorado do Carajás,0.15,0.56,12710.98,0.6,2
47,150300,Faro,0.15,0.563,8342.29,0.61,2
48,150304,Floresta do Araguaia,0.32,0.583,13425.59,0.63,2
49,150307,Garrafão do Norte,0.32,0.526,8452.59,0.64,2
50,150309,Goianésia do Pará,0.15,0.56,8573.14,0.62,2
51,150310,Gurupá,0.32,0.509,8415.96,0.62,2
52,150320,Igarapé-Açu,0.12,0.595,8922.0,0.64,3
53,150330,Igarapé-Miri,0.0,0.547,8283.4,0.62,3
54,150340,Inhangapi,0.0,0.572,10230.93,0.6599999999999999,3
55,150345,Ipixuna do Pará,0.47,0.489,8998.99,0.63,1
56,150350,Irituia,0.32,0.559,6771.94,0.63,2
57,150360,Itaituba,0.52,0.64,20167.96,0.5900000000000001,0
58,150370,Itupiranga,0.12,0.528,10894.26,0.63,3
59,150375,Jacareacanga,0.0,0.505,63713.36,0.6599999999999999,3
60,150380,Jacundá,0.15,0.622,8256.57,0.62,2
61,150390,Juruti,0.27,0.592,20792.57,0.61,2
62,150400,Limoeiro do Ajuru,0.0,0.541,14645.33,0.6599999999999999,3
63,150405,Mãe do Rio,0.12,0.599,9691.0,0.62,3
64,150410,Magalhães Barata,0.12,0.597,8658.67,0.65,3
65,150420,Marabá,0.3,0.668,40832.03,0.5900000000000001,2
66,150430,Maracanã,0.0,0.57,7744.81,0.62,3
67,150440,Marapanim,0.15,0.609,7767.89,0.65,2
68,150442,Marituba,0.15,0.676,14762.17,0.64,2
69,150445,Medicilândia,0.67,0.582,20717.81,0.63,0
70,150450,Melgaço,0.67,0.418,6509.82,0.6699999999999999,0
71,150460,Mocajuba,0.12,0.575,12164.29,0.5800000000000001,3
72,150470,Moju,0.12,0.547,11144.49,0.63,3
